{'stateEstimate.z': -0.14385764300823212, 'stateEstimate.y': 2.8575685024261475, 'stateEstimate.x': 1.1741163730621338}
{'stateEstimate.z': -0.14261727035045624, 'stateEstimate.y': 2.8543741703033447, 'stateEstimate.x': 1.1720927953720093}
{'stateEstimate.z': -0.14340020716190338, 'stateEstimate.y': 2.857062339782715, 'stateEstimate.x': 1.172782301902771}
{'stateEstimate.z': -0.1420823037624359, 'stateEstimate.y': 2.854584217071533, 'stateEstimate.x': 1.169434905052185}
{'stateEstimate.z': -0.14332330226898193, 'stateEstimate.y': 2.8544788360595703, 'stateEstimate.x': 1.1727079153060913}
{'stateEstimate.z': -0.14396712183952332, 'stateEstimate.y': 2.854358196258545, 'stateEstimate.x': 1.1716145277023315}
{'stateEstimate.z': -0.14336585998535156, 'stateEstimate.y': 2.8519287109375, 'stateEstimate.x': 1.1699556112289429}
{'stateEstimate.z': -0.14401346445083618, 'stateEstimate.y': 2.853031873703003, 'stateEstimate.x': 1.1688395738601685}
{'stateEstimate.z': -0.14290443062782288, 'stateEstimate.y': 2.85263991355896, 'stateEstimate.x': 1.1670475006103516}
{'stateEstimate.z': -0.14291033148765564, 'stateEstimate.y': 2.8541078567504883, 'stateEstimate.x': 1.1701890230178833}
{'stateEstimate.z': -0.1418047547340393, 'stateEstimate.y': 2.8524506092071533, 'stateEstimate.x': 1.1692594289779663}
{'stateEstimate.z': -0.14301644265651703, 'stateEstimate.y': 2.850555419921875, 'stateEstimate.x': 1.1704411506652832}
{'stateEstimate.z': -0.1444651186466217, 'stateEstimate.y': 2.851665735244751, 'stateEstimate.x': 1.1706759929656982}
{'stateEstimate.z': -0.14299292862415314, 'stateEstimate.y': 2.850600004196167, 'stateEstimate.x': 1.1674957275390625}
{'stateEstimate.z': -0.1444087028503418, 'stateEstimate.y': 2.8503801822662354, 'stateEstimate.x': 1.1679495573043823}
{'stateEstimate.z': -0.1423850953578949, 'stateEstimate.y': 2.8516101837158203, 'stateEstimate.x': 1.1675552129745483}
{'stateEstimate.z': -0.14418458938598633, 'stateEstimate.y': 2.851935625076294, 'stateEstimate.x': 1.1724450588226318}
{'stateEstimate.z': -0.1430320143699646, 'stateEstimate.y': 2.8514273166656494, 'stateEstimate.x': 1.1701476573944092}
{'stateEstimate.z': -0.14399032294750214, 'stateEstimate.y': 2.8505020141601562, 'stateEstimate.x': 1.1716971397399902}
{'stateEstimate.z': -0.14514803886413574, 'stateEstimate.y': 2.8521199226379395, 'stateEstimate.x': 1.1717077493667603}
{'stateEstimate.z': -0.14452078938484192, 'stateEstimate.y': 2.853332996368408, 'stateEstimate.x': 1.1699011325836182}
{'stateEstimate.z': -0.14485615491867065, 'stateEstimate.y': 2.8542184829711914, 'stateEstimate.x': 1.1698709726333618}
{'stateEstimate.z': -0.1433102786540985, 'stateEstimate.y': 2.854334592819214, 'stateEstimate.x': 1.1703823804855347}
{'stateEstimate.z': -0.14422808587551117, 'stateEstimate.y': 2.8585622310638428, 'stateEstimate.x': 1.1701593399047852}
{'stateEstimate.z': -0.14346995949745178, 'stateEstimate.y': 2.8564929962158203, 'stateEstimate.x': 1.1684715747833252}
{'stateEstimate.z': -0.14398880302906036, 'stateEstimate.y': 2.860201120376587, 'stateEstimate.x': 1.1679044961929321}
{'stateEstimate.z': -0.1450285017490387, 'stateEstimate.y': 2.859694004058838, 'stateEstimate.x': 1.1662983894348145}
{'stateEstimate.z': -0.14482998847961426, 'stateEstimate.y': 2.8570921421051025, 'stateEstimate.x': 1.1663912534713745}
{'stateEstimate.z': -0.1447121948003769, 'stateEstimate.y': 2.858458995819092, 'stateEstimate.x': 1.167545199394226}
{'stateEstimate.z': -0.14398616552352905, 'stateEstimate.y': 2.8612139225006104, 'stateEstimate.x': 1.1663058996200562}
{'stateEstimate.z': -0.14339695870876312, 'stateEstimate.y': 2.862973213195801, 'stateEstimate.x': 1.1676251888275146}
